1-2	3	13	3	8	
1-7	8	3	13	13	3	8	
1-13	28	6	2	
1-14	3	13	13	3	8	
5-462	11	31	31	30	
8-772	14	23	6	
8-788	6	3	14	
8-839	14	6	3	6	
8-888	14	5	3	
9-1057	8	3	9	12	12	11	
10-1112	4	3	13	8	
12-1266	8	3	9	4	3	
12-1270	8	3	13	
12-1272	8	3	13	9	3	13	
12-1273	3	9	13	
12-1277	27	3	13	
12-1280	6	3	13	8	
12-1288	8	3	20	
12-1295	31	31	9	3	3	8	8	
12-1313	8	3	2	
12-1315	3	25	3	
12-1317	3	6	25	30	7	
13-1328	10	2	2	10	
13-1361	10	22	2	
13-1373	10	2	4	15	
13-1382	10	2	2	10	
13-1409	22	26	26	10	
13-1439	6	20	3	
13-1446	11	4	15	4	
14-1567	27	3	13	
18-1965	6	2	10	
18-1984	25	10	9	
18-2026	3	13	10	
18-2048	3	13	10	
18-2062	22	5	5	2	
18-2096	3	13	10	
18-2110	3	13	10	
18-2127	3	13	10	
18-2184	3	13	10	
18-2222	3	13	10	
18-2243	3	13	10	
21-2449	2	5	16	
21-2519	3	13	3	
21-2593	3	13	3	
21-2614	3	3	12	12	3	13	
22-2708	27	5	22	
26-2994	5	8	27	8	
26-3072	5	28	27	28	2	2	
26-3075	5	4	5	
29-3576	4	19	4	
29-3609	4	19	4	
29-3672	5	4	3	5	
29-3677	5	23	23	5	
29-3680	4	19	4	
30-3716	25	3	8	
30-3726	2	5	16	
30-3729	2	22	5	16	
30-3731	16	5	22	22	16	
30-3733	11	6	16	
30-3747	4	23	6	
30-3748	16	5	2	
30-3754	16	5	22	
31-3791	9	6	8	
31-3794	23	6	8	
33-3980	7	3	7	
33-4012	7	26	3	
35-4137	2	20	2	
35-4142	2	4	15	
35-4191	10	2	4	
35-4228	11	30	7	
36-4312	19	19	21	4	
36-4391	6	3	8	
38-4513	11	6	3	
38-4519	11	6	3	
43-4884	25	11	3	
43-4894	3	5	3	
43-4908	17	11	3	
43-4920	17	3	13	
45-5026	5	13	3	
45-5035	3	13	27	
47-5173	2	12	30	
49-5526	3	13	3	2	
49-5536	13	3	2	2	
49-5547	15	4	29	29	
49-5548	29	4	15	
51-5874	20	2	16	
55-6316	2	10	2	
55-6365	2	20	20	6	
55-6394	19	9	11	
57-6566	6	2	3	
58-6744	7	11	9	
58-6757	7	9	3	
58-6792	9	30	7	
59-6840	8	3	2	
59-6857	22	10	24	
63-7408	2	10	10	6	
63-7458	23	10	2	23	
63-7462	6	3	13	
63-7489	6	3	13	3	6	
63-7500	3	6	10	10	2	23	
63-7514	13	3	6	
63-7541	27	3	13	
63-7560	4	2	10	2	
65-7721	7	9	6	7	
65-7751	6	14	7	
65-7814	7	23	4	7	
65-7820	5	2	4	4	7	
65-7834	5	2	7	
65-7840	5	3	7	
65-7844	7	11	2	22	
